5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,9,9,9,10,10,10,10,10,10,10,10,10,10,10
165,82,103,98,103,98,97,97,96,97,99,99,99,99,99
528,577,493,445,464,477,474,470,469,469,471,471,472,473,475
798,884,840,689,710,694,711,705,692,694,696,696,694,695,696
1013,950,819,812,799,844,890,893,890,904,901,895,899,899,900
